Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
1179850512,15 backers,69 backers,33 backers,5 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608391652,1 backer,18 backers,9 backers,4 backers,6 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173364079,50 backers,145 backers,133 backers,121 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996535433,4 backers,6 backers,9 backers,9 backers,4 backers,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2105280290,0 backers,2 backers,8 backers,11 backers,8 backers,7 backers,18 backers,2 backers,2 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3383733,5 backers,4 backers,149 backers,104 backers,13 backers,8 backers,1 backer,0 backers,0 backers,2 backers,6 backers,3 backers,2 backers,1 backer,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259547126,8 backers,178 backers,7 backers,2 backers,25 backers,1 backer,3 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362287860,10 backers,33 backers,195 backers,85 backers,2 backers,1 backer,12 backers,9 backers,9 backers,26 backers,21 backers,5 backers,7 backers,2 backers,1 backer,7 backers,4 backers,1 backer,3 backers,2 backers,4 backers,0 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,
722664770,0 backers,6 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905155790,0 backers,1 backer,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317014070,3 backers,0 backers,2 backers,0 backers,2 backers,6 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390236808,2 backers,1 backer,4 backers,3 backers,8 backers,2 backers,12 backers,3 backers,7 backers,2 backers,4 backers,1 backer,1 backer,0 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518742147,3 backers,24 backers,2 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383418925,2 backers,3 backers,3 backers,6 backers,0 backers,2 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580464470,11 backers,10 backers,39 backers,0 backers,36 backers,5 backers,14 backers,3 backers,11 backers,2 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1849129779,1 backer,20 backers,38 backers,2 backers,1 backer,10 backers,19 backers,6 backers,7 backers,1 backer,8 backers,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865974505,0 backers,8 backers,20 backers,5 backers,5 backers,4 backers,7 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648216790,0 backers,5 backers,5 backers,7 backers,5 backers,26 backers,8 backers,3 backers,12 backers,0 backers,3 backers,5 backers,1 backer,1 backer,1 backer,0 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199619615,12 backers,17 backers,25 backers,50 backers,30 backers,7 backers,16 backers,19 backers,39 backers,2 backers,11 backers,4 backers,1 backer,2 backers,5 backers,0 backers,6 backers,1 backer,0 backers,0 backers,3 backers,0 backers,0 backers,2 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,0 backers,,,,,,,,,,,,,,,
24490629,15 backers,20 backers,20 backers,5 backers,11 backers,2 backers,4 backers,0 backers,13 backers,4 backers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491075423,5 backers,0 backers,36 backers,52 backers,22 backers,3 backers,16 backers,2 backers,3 backers,2 backers,1 backer,0 backers,0 backers,0 backers,1 backer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
