Project_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
604826493,"$1,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596181002,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$20,$0,$0,$0,$0,$0,$0,$0,$0,$5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601489408,$0,$70,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594214923,$20,$217,$15,$140,$40,$10,$20,$120,$10,,$-5,$105,,$5,$40,$15,$100,$10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648740876,$0,$0,$20,$0,$100,$20,$0,$0,$170,$0,$0,$20,$0,$25,$0,$0,$0,$0,$0,$0,$0,$0,$0,$5,$50,$210,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606074746,$242,"$2,195",$981,$488,$490,$285,$140,$265,$390,$150,$25,$25,$30,$40,$90,$90,$225,$195,$150,$0,$230,$300,$0,$70,$245,$10,$0,$829,$60,$20,$90,$600,$396,$20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608632846,$20,$40,$50,$0,$0,$0,$0,$110,$0,$0,$0,$10,$0,$50,$0,$0,$10,$0,$0,$10,$185,$0,$0,$60,$0,$0,$0,$0,$0,$30,$80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595247107,$250,$165,$275,$315,$845,$20,$50,$175,$0,$170,$40,$200,$150,$80,$75,$20,$170,$0,$85,$535,$105,$275,$50,$170,$100,$220,$215,$740,$505,$25,$20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629275445,,,,,,$30,,,,,,,,,,,,,,,,,$50,,,,,,,,,,$-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659521558,$205,$475,$270,$175,"$1,000",$225,$40,$40,$50,$15,$25,$281,$30,$1,$25,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618922002,$30,$140,$0,$50,$25,$0,$0,$0,$20,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$10,$0,$0,$70,$0,$0,$0,$0,$0,$100,$0,$20,$0,$0,$335,$210,$50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645431322,"gbp1,334","gbp2,444","gbp1,745","gbp1,492","gbp1,307","gbp1,225","gbp1,000","gbp1,472","gbp1,122",gbp801,"gbp1,220","gbp1,797",gbp596,gbp656,gbp960,gbp803,gbp948,gbp887,"gbp1,046","gbp1,009","gbp1,173","gbp1,158",gbp976,"gbp1,065","gbp1,067","gbp1,277","gbp1,371","gbp1,315","gbp1,526","gbp3,770","gbp3,249","gbp2,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607289368,,$775,"$1,100",$110,$200,$50,$50,$210,$325,"$1,000",$650,$0,$100,$225,$0,$0,$260,$75,$600,$0,$100,$60,$75,$700,$131,$350,$175,$100,$0,$35,$0,$0,$100,$0,$0,$0,$0,$210,$275,$0,$0,$0,$200,$110,$160,"$1,036",$0,$0,$25,$660,$50,$85,$450,$125,$25,$0,$310,$62,$621,$450,$165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641747062,"$3,663","$1,240",$620,$830,$655,$532,$220,$855,"$1,429",$939,$711,$217,$265,$365,$347,$856,"$1,335",$925,$410,$612,"$1,317",$367,$629,$452,$547,$520,$130,$232,-,$347,$194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581697573,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595984423,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582156328,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586317865,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
683655175,"$1,182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642318367,$0,$0,$0,$0,$0,$25,$200,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612532272,gbp100,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp100,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp0,gbp30,gbp0,gbp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586590899,$131,$505,$106,$0,$0,$0,,$181,$25,"$1,000",$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$32,$0,$0,$0,$0,$0,$0,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696123452,$10,$65,$405,$745,$558,$20,$15,$140,$200,$20,$2,$0,$0,$55,$0,$0,$0,$0,$0,$20,$10,$0,$50,$0,$0,$0,$0,$50,$1,$40,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
