Project_ID,community_returning_backers,community_new_backers,launched_at(=0),Deadline,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
95871704,15,45,1350917769,1353513369,2014-08-01T12:02:29-04:00,2014-07-31T23:59:59-04:00,2014-07-23T15:12:50-04:00,2014-07-14T02:13:25-04:00,2014-06-30T23:59:59-04:00,2014-05-31T23:59:59-04:00,2014-05-02T10:43:02-04:00,2014-04-30T23:59:59-04:00,2014-01-31T23:59:59-05:00,2014-01-24T10:32:11-05:00,2013-12-31T23:59:59-05:00,2012-11-30T23:59:59-05:00,2012-11-21T10:56:09-05:00,2012-11-01T16:10:32-04:00,2012-10-31T23:59:59-04:00,2012-10-24T20:27:41-04:00,2012-10-22T10:56:10-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7127449,"15,324","11,736",1343397589,1345989589,2016-07-21T14:03:14-04:00,2016-07-12T14:25:38-04:00,2016-07-04T19:37:33-04:00,2016-06-30T23:59:59-04:00,2016-03-31T23:59:59-04:00,2016-03-11T17:22:01-05:00,2016-03-01T10:58:20-05:00,2016-02-29T23:59:59-05:00,2016-02-29T10:38:07-05:00,2016-02-29T10:30:07-05:00,2016-02-22T11:17:28-05:00,2016-01-31T23:59:59-05:00,2015-10-31T23:59:59-04:00,2015-10-30T16:42:57-04:00,2015-09-30T23:59:59-04:00,2015-06-30T23:59:59-04:00,2015-06-11T16:30:09-04:00,2015-06-09T12:48:12-04:00,2015-06-05T14:18:21-04:00,2015-05-31T23:59:59-04:00,2015-04-30T23:59:59-04:00,2015-04-30T17:58:20-04:00,2015-04-28T18:23:34-04:00,2015-04-27T14:25:50-04:00,2015-04-24T09:52:25-04:00,2015-04-23T08:27:54-04:00,2015-04-22T11:22:30-04:00,2015-03-31T23:59:59-04:00,2015-03-30T15:54:26-04:00,2015-02-28T23:59:59-05:00,2015-02-17T11:54:10-05:00,2015-01-31T23:59:59-05:00,2015-01-27T13:33:42-05:00,2014-12-31T23:59:59-05:00,2014-12-19T11:17:54-05:00,2014-12-18T18:00:14-05:00,2014-12-17T23:32:57-05:00,2014-12-12T12:11:27-05:00,2014-12-11T09:57:55-05:00,2014-12-10T10:49:48-05:00,2014-12-09T11:02:21-05:00,2014-12-08T12:36:11-05:00,2014-12-05T11:12:58-05:00,2014-12-04T13:55:04-05:00,2014-12-03T12:08:02-05:00,2014-12-02T15:35:57-05:00,2014-11-30T23:59:59-05:00,2014-10-31T23:59:59-04:00,2014-10-29T14:50:34-04:00,2014-10-24T14:02:43-04:00,2014-09-30T23:59:59-04:00,2014-06-30T23:59:59-04:00,2014-06-28T05:04:24-04:00,2014-06-14T00:34:22-04:00,2014-06-07T03:09:27-04:00,2014-05-31T23:59:59-04:00,2014-05-31T02:10:28-04:00,2014-05-24T01:15:35-04:00,2014-05-17T01:53:10-04:00,2014-05-09T22:47:30-04:00,2014-05-02T20:12:59-04:00,2014-04-30T23:59:59-04:00,2014-04-26T19:00:16-04:00,2014-03-31T23:59:59-04:00,2014-03-28T22:17:29-04:00,2014-03-22T00:23:17-04:00,2014-03-14T21:31:42-04:00,2014-03-07T23:06:49-05:00,2014-02-28T23:59:59-05:00,2014-02-28T18:00:29-05:00,2014-02-22T03:51:26-05:00,2014-02-18T06:14:02-05:00,2014-01-31T23:59:59-05:00,2014-01-31T14:02:03-05:00,2014-01-27T17:01:29-05:00,2014-01-25T15:29:04-05:00,2014-01-24T18:13:40-05:00,2014-01-17T18:26:36-05:00,2014-01-15T18:38:49-05:00,2014-01-15T08:38:29-05:00,2013-12-31T23:59:59-05:00,2013-09-30T23:59:59-04:00,2013-09-24T11:52:35-04:00,2013-08-31T23:59:59-04:00,2013-08-23T22:12:23-04:00,2013-07-31T23:59:59-04:00,2013-03-31T23:59:59-04:00,2013-03-19T20:14:48-04:00,2013-02-28T23:59:59-05:00,2013-02-15T22:48:36-05:00
265237321,"22,224","6,050",1444740114,1448427600,2016-03-21T11:40:39-04:00,2016-02-29T23:59:59-05:00,2016-02-23T07:58:18-05:00,2016-02-19T10:35:40-05:00,2016-02-10T13:13:59-05:00,2016-01-31T23:59:59-05:00,2016-01-21T20:01:48-05:00,2016-01-13T19:48:13-05:00,2015-12-31T23:59:59-05:00,2015-12-21T10:09:16-05:00,2015-12-05T16:07:32-05:00,2015-11-30T23:59:59-05:00,2015-11-25T21:25:11-05:00,2015-11-25T00:00:03-05:00,2015-11-24T20:20:31-05:00,2015-11-18T14:20:12-05:00,2015-11-12T12:28:35-05:00,2015-11-08T20:00:36-05:00,2015-10-31T23:59:59-04:00,2015-10-27T17:24:43-04:00,2015-10-23T19:45:44-04:00,2015-10-20T19:59:12-04:00,2015-10-18T11:41:04-04:00,2015-10-14T18:45:58-04:00,2015-10-13T08:41:54-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95871704,15,45,1350917769,1353513369,2014-08-01T12:02:29-04:00,2014-07-31T23:59:59-04:00,2014-07-23T15:12:50-04:00,2014-07-14T02:13:25-04:00,2014-06-30T23:59:59-04:00,2014-05-31T23:59:59-04:00,2014-05-02T10:43:02-04:00,2014-04-30T23:59:59-04:00,2014-01-31T23:59:59-05:00,2014-01-24T10:32:11-05:00,2013-12-31T23:59:59-05:00,2012-11-30T23:59:59-05:00,2012-11-21T10:56:09-05:00,2012-11-01T16:10:32-04:00,2012-10-31T23:59:59-04:00,2012-10-24T20:27:41-04:00,2012-10-22T10:56:10-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050138201,"17,746","11,072",1377717757,1381778557,2016-06-06T15:35:00-04:00,2016-05-31T23:59:59-04:00,2015-11-30T23:59:59-05:00,2015-11-09T16:22:33-05:00,2015-10-31T23:59:59-04:00,2015-09-30T23:59:59-04:00,2015-09-29T13:25:57-04:00,2015-08-31T23:59:59-04:00,2015-05-31T23:59:59-04:00,2015-05-28T11:09:41-04:00,2015-04-30T23:59:59-04:00,2015-03-31T23:59:59-04:00,2015-03-02T13:22:24-05:00,2015-02-28T23:59:59-05:00,2015-02-17T16:00:40-05:00,2015-01-31T23:59:59-05:00,2014-11-30T23:59:59-05:00,2014-11-28T12:59:19-05:00,2014-10-31T23:59:59-04:00,2014-08-31T23:59:59-04:00,2014-08-11T12:49:03-04:00,2014-07-31T23:59:59-04:00,2014-07-17T09:50:28-04:00,2014-07-09T04:10:52-04:00,2014-06-30T23:59:59-04:00,2014-06-17T08:01:00-04:00,2014-06-06T19:53:37-04:00,2014-05-31T23:59:59-04:00,2014-05-15T06:48:43-04:00,2014-04-30T23:59:59-04:00,2014-04-13T12:17:49-04:00,2014-03-31T23:59:59-04:00,2014-02-28T23:59:59-05:00,2014-02-15T12:42:53-05:00,2014-02-10T13:18:39-05:00,2014-01-31T23:59:59-05:00,2014-01-07T00:52:33-05:00,2014-01-01T17:34:05-05:00,2013-12-31T23:59:59-05:00,2013-12-12T13:34:27-05:00,2013-11-30T23:59:59-05:00,2013-11-14T12:43:58-05:00,2013-10-31T23:59:59-04:00,2013-10-23T13:18:04-04:00,2013-10-14T15:22:38-04:00,2013-10-12T14:22:20-04:00,2013-10-09T11:51:07-04:00,2013-10-08T15:18:57-04:00,2013-10-01T13:19:50-04:00,2013-09-30T23:59:59-04:00,2013-09-18T10:25:46-04:00,2013-09-09T14:51:10-04:00,2013-09-02T19:04:11-04:00,2013-09-01T12:50:50-04:00,2013-08-31T23:59:59-04:00,2013-08-29T18:31:53-04:00,2013-08-28T15:22:39-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746498917,"21,172","2,978",1379014699,1381606699,2016-07-22T19:52:16-04:00,2016-06-30T23:59:59-04:00,2016-06-23T12:43:32-04:00,2016-05-31T23:59:59-04:00,2016-05-25T13:43:12-04:00,2016-04-30T23:59:59-04:00,2016-04-27T18:07:09-04:00,2016-04-01T21:14:04-04:00,2016-03-31T23:59:59-04:00,2016-03-30T19:41:02-04:00,2016-03-30T18:07:41-04:00,2016-03-22T10:25:45-04:00,2016-03-14T11:19:43-04:00,2016-02-29T23:59:59-05:00,2016-02-27T16:03:01-05:00,2016-02-21T18:00:33-05:00,2016-02-17T13:57:29-05:00,2016-02-05T12:48:13-05:00,2016-01-31T23:59:59-05:00,2015-12-31T23:59:59-05:00,2015-12-27T17:25:21-05:00,2015-11-30T23:59:59-05:00,2015-10-31T23:59:59-04:00,2015-10-31T15:42:40-04:00,2015-09-30T23:59:59-04:00,2015-09-29T14:09:18-04:00,2015-08-31T23:59:59-04:00,2015-08-25T15:03:51-04:00,2015-07-31T23:59:59-04:00,2015-07-30T18:29:16-04:00,2015-06-30T23:59:59-04:00,2015-06-09T20:02:42-04:00,2015-05-31T23:59:59-04:00,2015-05-01T18:30:03-04:00,2015-04-30T23:59:59-04:00,2015-03-31T23:59:59-04:00,2015-03-13T22:18:59-04:00,2015-02-28T23:59:59-05:00,2015-02-06T16:31:35-05:00,2015-01-31T23:59:59-05:00,2015-01-12T22:42:38-05:00,2014-12-31T23:59:59-05:00,2014-12-10T23:00:39-05:00,2014-11-30T23:59:59-05:00,2014-10-31T23:59:59-04:00,2014-10-21T23:36:20-04:00,2014-09-30T23:59:59-04:00,2014-09-29T14:35:32-04:00,2014-09-24T17:40:19-04:00,2014-09-17T21:42:58-04:00,2014-08-31T23:59:59-04:00,2014-08-21T13:40:02-04:00,2014-07-31T23:59:59-04:00,2014-06-30T23:59:59-04:00,2014-06-30T16:45:48-04:00,2014-05-31T23:59:59-04:00,2014-05-26T19:33:05-04:00,2014-04-30T23:59:59-04:00,2014-04-13T10:53:22-04:00,2014-04-11T14:34:23-04:00,2014-03-31T23:59:59-04:00,2014-03-22T13:18:41-04:00,2014-02-28T23:59:59-05:00,2014-01-31T23:59:59-05:00,2014-01-31T22:54:50-05:00,2014-01-25T21:31:53-05:00,2014-01-17T20:07:45-05:00,2013-12-31T23:59:59-05:00,2013-12-25T02:05:02-05:00,2013-11-30T23:59:59-05:00,2013-11-27T10:59:54-05:00,2013-11-19T15:06:52-05:00,2013-11-02T16:09:37-04:00,2013-10-31T23:59:59-04:00,2013-10-23T23:02:31-04:00,2013-10-17T17:49:41-04:00,2013-10-14T21:13:55-04:00,2013-10-12T21:11:12-04:00,2013-10-12T15:38:20-04:00,2013-10-12T14:02:34-04:00,2013-10-12T10:48:39-04:00,2013-10-12T01:57:12-04:00,2013-10-10T20:44:21-04:00,2013-10-09T20:23:25-04:00,2013-10-07T21:47:12-04:00,2013-10-05T20:41:02-04:00,2013-10-04T18:25:29-04:00,2013-10-03T16:54:42-04:00,2013-10-02T18:02:38-04:00,2013-10-01T18:13:21-04:00
1653584458,"11,550","12,076",1415037226,1417629226,2016-06-15T17:31:59-04:00,2016-05-31T23:59:59-04:00,2015-10-31T23:59:59-04:00,2015-10-13T15:15:05-04:00,2015-09-30T23:59:59-04:00,2015-05-31T23:59:59-04:00,2015-05-20T23:23:59-04:00,2015-04-30T23:59:59-04:00,2015-03-31T23:59:59-04:00,2015-03-25T21:55:32-04:00,2015-02-28T23:59:59-05:00,2015-02-23T20:56:23-05:00,2015-02-12T03:05:58-05:00,2015-01-31T23:59:59-05:00,2015-01-26T17:55:07-05:00,2015-01-16T03:19:20-05:00,2015-01-07T21:46:43-05:00,2015-01-01T00:09:08-05:00,2014-12-31T23:59:59-05:00,2014-12-22T22:46:12-05:00,2014-12-17T15:48:53-05:00,2014-12-10T20:48:01-05:00,2014-12-03T17:42:57-05:00,2014-12-03T12:53:47-05:00,2014-12-02T17:43:21-05:00,2014-11-30T23:59:59-05:00,2014-11-28T19:31:47-05:00,2014-11-19T18:34:07-05:00,2014-11-11T02:14:04-05:00,2014-11-03T12:53:47-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785289599,"16,562","6,282",1367250711,1369890000,2016-03-30T15:02:10-04:00,2016-02-29T23:59:59-05:00,2016-02-08T15:09:22-05:00,2016-01-31T23:59:59-05:00,2015-12-31T23:59:59-05:00,2015-12-03T13:38:15-05:00,2015-11-30T23:59:59-05:00,2015-10-31T23:59:59-04:00,2015-10-27T11:36:33-04:00,2015-09-30T23:59:59-04:00,2015-09-03T13:12:30-04:00,2015-08-31T23:59:59-04:00,2015-05-31T23:59:59-04:00,2015-05-14T13:29:27-04:00,2015-04-30T23:59:59-04:00,2015-03-31T23:59:59-04:00,2015-03-27T16:06:51-04:00,2015-02-28T23:59:59-05:00,2015-02-04T11:03:04-05:00,2015-01-31T23:59:59-05:00,2014-12-31T23:59:59-05:00,2014-12-03T17:28:12-05:00,2014-11-30T23:59:59-05:00,2014-09-30T23:59:59-04:00,2014-09-18T20:45:26-04:00,2014-09-02T18:09:35-04:00,2014-08-31T23:59:59-04:00,2014-04-30T23:59:59-04:00,2014-04-29T18:05:16-04:00,2014-03-31T23:59:59-04:00,2013-12-31T23:59:59-05:00,2013-12-30T21:24:08-05:00,2013-12-11T17:01:03-05:00,2013-11-30T23:59:59-05:00,2013-11-26T15:53:00-05:00,2013-11-03T17:56:47-05:00,2013-10-31T23:59:59-04:00,2013-09-30T23:59:59-04:00,2013-09-10T12:55:47-04:00,2013-08-31T23:59:59-04:00,2013-05-31T23:59:59-04:00,2013-05-30T16:28:58-04:00,2013-05-30T01:00:39-04:00,2013-05-29T18:02:51-04:00,2013-05-28T13:25:59-04:00,2013-05-24T19:03:03-04:00,2013-05-21T19:46:46-04:00,2013-05-20T16:46:01-04:00,2013-05-15T19:39:25-04:00,2013-05-13T10:52:10-04:00,2013-05-09T11:43:10-04:00,2013-05-07T17:08:33-04:00,2013-05-07T16:23:16-04:00,2013-05-04T14:21:58-04:00,2013-05-03T17:02:21-04:00,2013-05-02T19:50:30-04:00,2013-05-02T19:02:17-04:00,2013-05-02T00:46:29-04:00,2013-05-01T13:54:46-04:00,2013-04-30T23:59:59-04:00,2013-04-30T17:33:01-04:00,2013-04-30T14:25:39-04:00,2013-04-29T14:26:41-04:00,2013-04-29T11:51:52-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,
1539660295,"13,561","7,226",1456878678,1459294278,2016-07-19T02:45:14-04:00,2016-06-30T23:59:59-04:00,2016-06-09T01:29:25-04:00,2016-06-02T21:34:54-04:00,2016-05-31T23:59:59-04:00,2016-05-05T01:11:08-04:00,2016-04-30T23:59:59-04:00,2016-04-25T22:58:38-04:00,2016-04-20T22:41:56-04:00,2016-04-18T00:32:53-04:00,2016-04-17T23:12:14-04:00,2016-03-31T23:59:59-04:00,2016-03-30T02:13:32-04:00,2016-03-29T19:31:20-04:00,2016-03-28T23:18:45-04:00,2016-03-24T23:00:42-04:00,2016-03-17T02:02:52-04:00,2016-03-16T02:31:55-04:00,2016-03-10T00:35:16-05:00,2016-03-02T21:27:05-05:00,2016-03-01T19:31:19-05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463121688,"9,059","12,396",1406039160,1408631160,2015-05-07T17:05:08-04:00,2015-04-30T23:59:59-04:00,2015-01-31T23:59:59-05:00,2015-01-31T05:20:01-05:00,2015-01-09T13:08:27-05:00,2014-12-31T23:59:59-05:00,2014-12-16T00:17:29-05:00,2014-11-30T23:59:59-05:00,2014-10-31T23:59:59-04:00,2014-10-08T19:39:49-04:00,2014-09-30T23:59:59-04:00,2014-08-31T23:59:59-04:00,2014-08-28T13:52:20-04:00,2014-08-24T01:03:48-04:00,2014-08-21T10:26:03-04:00,2014-08-21T08:33:27-04:00,2014-08-21T02:57:41-04:00,2014-08-20T22:01:32-04:00,2014-08-20T17:51:54-04:00,2014-08-18T15:14:05-04:00,2014-08-15T21:30:46-04:00,2014-08-08T09:45:47-04:00,2014-08-06T19:14:56-04:00,2014-08-05T13:25:27-04:00,2014-07-31T23:59:59-04:00,2014-07-29T17:19:09-04:00,2014-07-27T21:09:16-04:00,2014-07-27T12:28:47-04:00,2014-07-25T13:50:09-04:00,2014-07-24T11:41:53-04:00,2014-07-22T18:08:29-04:00,2014-07-22T10:26:00-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
